"TokenNumber","TokenPadded","NewWorkID","Title","RepoName","ItemPath","ExpectedImagePath","ExpectedSrcFromItem","FirstImgSrcFound","ResolvedFirstImgPath","LocalImgSrcCount","MatchesExpectedImage","Status","Message"
"11","0011","RE-001821","Light Cult Crypto Club #0011","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0011.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0011.png","../images/0001-0100/LCCC-0011.png","../images/0001-0100/LCCC-0011.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0011.png","1","YES","OK","Image src resolves to expected local image."
"13","0013","RE-001822","Light Cult Crypto Club #0013","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0013.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0013.png","../images/0001-0100/LCCC-0013.png","../images/0001-0100/LCCC-0013.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0013.png","1","YES","OK","Image src resolves to expected local image."
"15","0015","RE-001823","Light Cult Crypto Club #0015","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0015.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0015.png","../images/0001-0100/LCCC-0015.png","../images/0001-0100/LCCC-0015.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0015.png","1","YES","OK","Image src resolves to expected local image."
"16","0016","RE-001824","Light Cult Crypto Club #0016","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0016.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0016.png","../images/0001-0100/LCCC-0016.png","../images/0001-0100/LCCC-0016.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0016.png","1","YES","OK","Image src resolves to expected local image."
"17","0017","RE-001825","Light Cult Crypto Club #0017","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0017.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0017.png","../images/0001-0100/LCCC-0017.png","../images/0001-0100/LCCC-0017.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0017.png","1","YES","OK","Image src resolves to expected local image."
"18","0018","RE-001826","Light Cult Crypto Club #0018","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0018.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0018.png","../images/0001-0100/LCCC-0018.png","../images/0001-0100/LCCC-0018.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0018.png","1","YES","OK","Image src resolves to expected local image."
"20","0020","RE-001827","Light Cult Crypto Club #0020","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0020.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0020.png","../images/0001-0100/LCCC-0020.png","../images/0001-0100/LCCC-0020.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0020.png","1","YES","OK","Image src resolves to expected local image."
"21","0021","RE-001828","Light Cult Crypto Club #0021","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0021.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0021.png","../images/0001-0100/LCCC-0021.png","../images/0001-0100/LCCC-0021.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0021.png","1","YES","OK","Image src resolves to expected local image."
"22","0022","RE-001829","Light Cult Crypto Club #0022","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0022.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0022.png","../images/0001-0100/LCCC-0022.png","../images/0001-0100/LCCC-0022.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0022.png","1","YES","OK","Image src resolves to expected local image."
"23","0023","RE-001830","Light Cult Crypto Club #0023","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0023.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0023.png","../images/0001-0100/LCCC-0023.png","../images/0001-0100/LCCC-0023.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0023.png","1","YES","OK","Image src resolves to expected local image."
"24","0024","RE-001831","Light Cult Crypto Club #0024","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0024.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0024.png","../images/0001-0100/LCCC-0024.png","../images/0001-0100/LCCC-0024.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0024.png","1","YES","OK","Image src resolves to expected local image."
"25","0025","RE-001832","Light Cult Crypto Club #0025","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0025.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0025.png","../images/0001-0100/LCCC-0025.png","../images/0001-0100/LCCC-0025.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0025.png","1","YES","OK","Image src resolves to expected local image."
"26","0026","RE-001833","Light Cult Crypto Club #0026","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0026.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0026.png","../images/0001-0100/LCCC-0026.png","../images/0001-0100/LCCC-0026.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0026.png","1","YES","OK","Image src resolves to expected local image."
"27","0027","RE-001834","Light Cult Crypto Club #0027","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0027.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0027.png","../images/0001-0100/LCCC-0027.png","../images/0001-0100/LCCC-0027.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0027.png","1","YES","OK","Image src resolves to expected local image."
"28","0028","RE-001835","Light Cult Crypto Club #0028","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0028.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0028.png","../images/0001-0100/LCCC-0028.png","../images/0001-0100/LCCC-0028.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0028.png","1","YES","OK","Image src resolves to expected local image."
"29","0029","RE-001836","Light Cult Crypto Club #0029","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0029.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0029.png","../images/0001-0100/LCCC-0029.png","../images/0001-0100/LCCC-0029.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0029.png","1","YES","OK","Image src resolves to expected local image."
"30","0030","RE-001837","Light Cult Crypto Club #0030","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0030.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0030.png","../images/0001-0100/LCCC-0030.png","../images/0001-0100/LCCC-0030.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0030.png","1","YES","OK","Image src resolves to expected local image."
"31","0031","RE-001838","Light Cult Crypto Club #0031","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0031.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0031.png","../images/0001-0100/LCCC-0031.png","../images/0001-0100/LCCC-0031.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0031.png","1","YES","OK","Image src resolves to expected local image."
"32","0032","RE-001839","Light Cult Crypto Club #0032","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0032.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0032.png","../images/0001-0100/LCCC-0032.png","../images/0001-0100/LCCC-0032.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0032.png","1","YES","OK","Image src resolves to expected local image."
"33","0033","RE-001840","Light Cult Crypto Club #0033","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0033.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0033.png","../images/0001-0100/LCCC-0033.png","../images/0001-0100/LCCC-0033.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0033.png","1","YES","OK","Image src resolves to expected local image."
"34","0034","RE-001841","Light Cult Crypto Club #0034","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0034.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0034.png","../images/0001-0100/LCCC-0034.png","../images/0001-0100/LCCC-0034.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0034.png","1","YES","OK","Image src resolves to expected local image."
"37","0037","RE-001842","Light Cult Crypto Club #0037","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0037.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0037.png","../images/0001-0100/LCCC-0037.png","../images/0001-0100/LCCC-0037.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0037.png","1","YES","OK","Image src resolves to expected local image."
"38","0038","RE-001843","Light Cult Crypto Club #0038","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0038.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0038.png","../images/0001-0100/LCCC-0038.png","../images/0001-0100/LCCC-0038.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0038.png","1","YES","OK","Image src resolves to expected local image."
"39","0039","RE-001844","Light Cult Crypto Club #0039","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0039.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0039.png","../images/0001-0100/LCCC-0039.png","../images/0001-0100/LCCC-0039.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0039.png","1","YES","OK","Image src resolves to expected local image."
"40","0040","RE-001845","Light Cult Crypto Club #0040","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0040.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0040.png","../images/0001-0100/LCCC-0040.png","../images/0001-0100/LCCC-0040.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0040.png","1","YES","OK","Image src resolves to expected local image."
"42","0042","RE-001846","Light Cult Crypto Club #0042","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0042.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0042.png","../images/0001-0100/LCCC-0042.png","../images/0001-0100/LCCC-0042.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0042.png","1","YES","OK","Image src resolves to expected local image."
"43","0043","RE-001847","Light Cult Crypto Club #0043","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0043.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0043.png","../images/0001-0100/LCCC-0043.png","../images/0001-0100/LCCC-0043.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0043.png","1","YES","OK","Image src resolves to expected local image."
"44","0044","RE-001848","Light Cult Crypto Club #0044","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0044.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0044.png","../images/0001-0100/LCCC-0044.png","../images/0001-0100/LCCC-0044.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0044.png","1","YES","OK","Image src resolves to expected local image."
"45","0045","RE-001849","Light Cult Crypto Club #0045","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0045.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0045.png","../images/0001-0100/LCCC-0045.png","../images/0001-0100/LCCC-0045.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0045.png","1","YES","OK","Image src resolves to expected local image."
"46","0046","RE-001850","Light Cult Crypto Club #0046","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0046.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0046.png","../images/0001-0100/LCCC-0046.png","../images/0001-0100/LCCC-0046.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0046.png","1","YES","OK","Image src resolves to expected local image."
"47","0047","RE-001851","Light Cult Crypto Club #0047","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0047.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0047.png","../images/0001-0100/LCCC-0047.png","../images/0001-0100/LCCC-0047.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0047.png","1","YES","OK","Image src resolves to expected local image."
"48","0048","RE-001852","Light Cult Crypto Club #0048","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0048.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0048.png","../images/0001-0100/LCCC-0048.png","../images/0001-0100/LCCC-0048.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0048.png","1","YES","OK","Image src resolves to expected local image."
"49","0049","RE-001853","Light Cult Crypto Club #0049","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0049.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0049.png","../images/0001-0100/LCCC-0049.png","../images/0001-0100/LCCC-0049.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0049.png","1","YES","OK","Image src resolves to expected local image."
"50","0050","RE-001854","Light Cult Crypto Club #0050","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0050.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0050.png","../images/0001-0100/LCCC-0050.png","../images/0001-0100/LCCC-0050.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0050.png","1","YES","OK","Image src resolves to expected local image."
"53","0053","RE-001855","Light Cult Crypto Club #0053","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0053.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0053.png","../images/0001-0100/LCCC-0053.png","../images/0001-0100/LCCC-0053.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0053.png","1","YES","OK","Image src resolves to expected local image."
"54","0054","RE-001856","Light Cult Crypto Club #0054","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0054.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0054.png","../images/0001-0100/LCCC-0054.png","../images/0001-0100/LCCC-0054.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0054.png","1","YES","OK","Image src resolves to expected local image."
"55","0055","RE-001857","Light Cult Crypto Club #0055","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0055.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0055.png","../images/0001-0100/LCCC-0055.png","../images/0001-0100/LCCC-0055.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0055.png","1","YES","OK","Image src resolves to expected local image."
"56","0056","RE-001858","Light Cult Crypto Club #0056","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0056.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0056.png","../images/0001-0100/LCCC-0056.png","../images/0001-0100/LCCC-0056.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0056.png","1","YES","OK","Image src resolves to expected local image."
"57","0057","RE-001859","Light Cult Crypto Club #0057","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0057.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0057.png","../images/0001-0100/LCCC-0057.png","../images/0001-0100/LCCC-0057.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0057.png","1","YES","OK","Image src resolves to expected local image."
"58","0058","RE-001860","Light Cult Crypto Club #0058","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0058.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0058.png","../images/0001-0100/LCCC-0058.png","../images/0001-0100/LCCC-0058.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0058.png","1","YES","OK","Image src resolves to expected local image."
"59","0059","RE-001861","Light Cult Crypto Club #0059","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0059.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0059.png","../images/0001-0100/LCCC-0059.png","../images/0001-0100/LCCC-0059.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0059.png","1","YES","OK","Image src resolves to expected local image."
"60","0060","RE-001862","Light Cult Crypto Club #0060","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0060.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0060.png","../images/0001-0100/LCCC-0060.png","../images/0001-0100/LCCC-0060.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0060.png","1","YES","OK","Image src resolves to expected local image."
"61","0061","RE-001863","Light Cult Crypto Club #0061","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0061.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0061.png","../images/0001-0100/LCCC-0061.png","../images/0001-0100/LCCC-0061.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0061.png","1","YES","OK","Image src resolves to expected local image."
"62","0062","RE-001864","Light Cult Crypto Club #0062","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0062.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0062.png","../images/0001-0100/LCCC-0062.png","../images/0001-0100/LCCC-0062.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0062.png","1","YES","OK","Image src resolves to expected local image."
"63","0063","RE-001865","Light Cult Crypto Club #0063","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0063.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0063.png","../images/0001-0100/LCCC-0063.png","../images/0001-0100/LCCC-0063.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0063.png","1","YES","OK","Image src resolves to expected local image."
"64","0064","RE-001866","Light Cult Crypto Club #0064","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0064.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0064.png","../images/0001-0100/LCCC-0064.png","../images/0001-0100/LCCC-0064.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0064.png","1","YES","OK","Image src resolves to expected local image."
"65","0065","RE-001867","Light Cult Crypto Club #0065","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0065.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0065.png","../images/0001-0100/LCCC-0065.png","../images/0001-0100/LCCC-0065.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0065.png","1","YES","OK","Image src resolves to expected local image."
"66","0066","RE-001868","Light Cult Crypto Club #0066","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0066.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0066.png","../images/0001-0100/LCCC-0066.png","../images/0001-0100/LCCC-0066.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0066.png","1","YES","OK","Image src resolves to expected local image."
"67","0067","RE-001869","Light Cult Crypto Club #0067","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0067.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0067.png","../images/0001-0100/LCCC-0067.png","../images/0001-0100/LCCC-0067.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0067.png","1","YES","OK","Image src resolves to expected local image."
"68","0068","RE-001870","Light Cult Crypto Club #0068","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0068.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0068.png","../images/0001-0100/LCCC-0068.png","../images/0001-0100/LCCC-0068.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0068.png","1","YES","OK","Image src resolves to expected local image."
"69","0069","RE-001871","Light Cult Crypto Club #0069","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0069.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0069.png","../images/0001-0100/LCCC-0069.png","../images/0001-0100/LCCC-0069.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0069.png","1","YES","OK","Image src resolves to expected local image."
"70","0070","RE-001872","Light Cult Crypto Club #0070","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0070.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0070.png","../images/0001-0100/LCCC-0070.png","../images/0001-0100/LCCC-0070.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0070.png","1","YES","OK","Image src resolves to expected local image."
"71","0071","RE-001873","Light Cult Crypto Club #0071","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0071.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0071.png","../images/0001-0100/LCCC-0071.png","../images/0001-0100/LCCC-0071.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0071.png","1","YES","OK","Image src resolves to expected local image."
"72","0072","RE-001874","Light Cult Crypto Club #0072","ron-english-light-cult-0001-1000","D:\github\ron-english-light-cult-0001-1000\items\lccc-0072.html","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0072.png","../images/0001-0100/LCCC-0072.png","../images/0001-0100/LCCC-0072.png","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\LCCC-0072.png","1","YES","OK","Image src resolves to expected local image."
