CardName	CardNumber	Image			ImageURL	FileName					
Star Skull Alien	32		uncommon	1/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2032%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 32 - Star Skull Alien.jpg					
Star Skull Alien	33		uncommon	2/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2033%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 33 - Star Skull Alien.jpg					
Star Skull Alien	34		uncommon	3/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2034%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 34 - Star Skull Alien.jpg					
Star Skull Alien	35		uncommon	4/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2035%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 35 - Star Skull Alien.jpg					
Star Skull Alien	36		uncommon	5/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2036%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 36 - Star Skull Alien.jpg					
Star Skull Alien	37		uncommon	6/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2037%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 37 - Star Skull Alien.jpg					
Star Skull Alien	38		uncommon	7/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2038%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 38 - Star Skull Alien.jpg					
Star Skull Alien	39		rare	8/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2039%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 39 - Star Skull Alien.jpg					
Star Skull Alien	40		rare	9/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2040%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 40 - Star Skull Alien.jpg					
Star Skull Alien	41		rare	10/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2041%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 41 - Star Skull Alien.jpg					
Star Skull Alien	42		rare	11/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2042%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 42 - Star Skull Alien.jpg					
Star Skull Alien	43		ultra rare	12/12	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2043%20-%20Star%20Skull%20Alien.jpg	Area 54 Cards - 43 - Star Skull Alien.jpg					
Codextra Manasser	44		uncommon	1/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2044%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 44 - Codextra Manasser.jpg					
Codextra Manasser	45		uncommon	2/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2045%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 45 - Codextra Manasser.jpg					
Codextra Manasser	46		uncommon	3/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2046%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 46 - Codextra Manasser.jpg					
Codextra Manasser	47		uncommon	4/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2047%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 47 - Codextra Manasser.jpg					
Codextra Manasser	48		uncommon	5/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2048%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 48 - Codextra Manasser.jpg					
Codextra Manasser	49		uncommon	6/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2049%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 49 - Codextra Manasser.jpg					
Codextra Manasser	50		rare	7/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2050%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 50 - Codextra Manasser.jpg					
Codextra Manasser	51		rare	8/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2051%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 51 - Codextra Manasser.jpg					
Codextra Manasser	52		ultra rare	9/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2052%20-%20Codextra%20Manasser.jpg	Area 54 Cards - 52 - Codextra Manasser.jpg					
Elated Xtra Terrestrial	53		uncommon	1/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2053%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 53 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	54		uncommon	2/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2054%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 54 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	55		uncommon	3/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2055%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 55 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	56		uncommon	4/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2056%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 56 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	57		rare	5/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2057%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 57 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	58		rare	6/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2058%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 58 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	59		rare	7/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2059%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 59 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	60		rare	8/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2060%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 60 - Elated Xtra Terrestrial.jpg					
Elated Xtra Terrestrial	61		ultra rare	9/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2061%20-%20Elated%20Xtra%20Terrestrial.jpg	Area 54 Cards - 61 - Elated Xtra Terrestrial.jpg					
Grift Drifter	62		uncommon	1/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2062%20-%20Grift%20Drifter.jpg	Area 54 Cards - 62 - Grift Drifter.jpg					
Grift Drifter	63		uncommon	2/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2063%20-%20Grift%20Drifter.jpg	Area 54 Cards - 63 - Grift Drifter.jpg					
Grift Drifter	64		uncommon	3/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2064%20-%20Grift%20Drifter.jpg	Area 54 Cards - 64 - Grift Drifter.jpg					
Grift Drifter	65		uncommon	4/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2065%20-%20Grift%20Drifter.jpg	Area 54 Cards - 65 - Grift Drifter.jpg					
Grift Drifter	66		rare	5/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2066%20-%20Grift%20Drifter.jpg	Area 54 Cards - 66 - Grift Drifter.jpg					
Grift Drifter	67		rare	6/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2067%20-%20Grift%20Drifter.jpg	Area 54 Cards - 67 - Grift Drifter.jpg					
Grift Drifter	68		rare	7/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2068%20-%20Grift%20Drifter.jpg	Area 54 Cards - 68 - Grift Drifter.jpg					
Grift Drifter	69		rare	8/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2069%20-%20Grift%20Drifter.jpg	Area 54 Cards - 69 - Grift Drifter.jpg					
Grift Drifter	70		ultra rare	9/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2070%20-%20Grift%20Drifter.jpg	Area 54 Cards - 70 - Grift Drifter.jpg					
Remora Rabbbit	71		uncommon	1/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2071%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 71 - Remora Rabbbit.jpg					
Remora Rabbbit	72		uncommon	2/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2072%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 72 - Remora Rabbbit.jpg					
Remora Rabbbit	73		uncommon	3/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2073%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 73 - Remora Rabbbit.jpg					
Remora Rabbbit	74		uncommon	4/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2074%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 74 - Remora Rabbbit.jpg					
Remora Rabbbit	75		rare	5/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2075%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 75 - Remora Rabbbit.jpg					
Remora Rabbbit	76		rare	6/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2076%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 76 - Remora Rabbbit.jpg					
Remora Rabbbit	77		rare	7/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2077%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 77 - Remora Rabbbit.jpg					
Remora Rabbbit	78		rare	8/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2078%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 78 - Remora Rabbbit.jpg					
Remora Rabbbit	79		ultra rare	9/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2079%20-%20Remora%20Rabbbit.jpg	Area 54 Cards - 79 - Remora Rabbbit.jpg					
Zerk Zuckzurd	80		uncommon	1/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2080%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 80 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	81		uncommon	2/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2081%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 81 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	82		uncommon	3/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2082%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 82 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	83		uncommon	4/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2083%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 83 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	84		rare	5/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2084%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 84 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	85		rare	6/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2085%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 85 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	86		rare	7/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2086%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 86 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	87		rare	8/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2087%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 87 - Zerk Zuckzurd.jpg					
Zerk Zuckzurd	88		ultra rare	9/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2088%20-%20Zerk%20Zuckzurd.jpg	Area 54 Cards - 88 - Zerk Zuckzurd.jpg					
Fuelatron Jellybone	89		uncommon	1/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2089%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 89 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	90		uncommon	2/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2090%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 90 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	91		uncommon	3/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2091%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 91 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	92		uncommon	4/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2092%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 92 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	93		uncommon	5/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2093%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 93 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	94		rare	6/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2094%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 94 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	95		rare	7/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2095%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 95 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	96		rare	8/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2096%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 96 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	97		rare	9/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2097%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 97 - Fuelatron Jellybone.jpg					
Fuelatron Jellybone	98		ultra rare	10/10	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2098%20-%20Fuelatron%20Jellybone.jpg	Area 54 Cards - 98 - Fuelatron Jellybone.jpg					
Cosmo Titian	99		u	1/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2099%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 99 - Cosmo Titian.jpg					
Cosmo Titian	100		uncommon	2/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20100%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 100 - Cosmo Titian.jpg					
Cosmo Titian	101		uncommon	3/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20101%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 101 - Cosmo Titian.jpg					
Cosmo Titian	102		uncommon	4/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20102%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 102 - Cosmo Titian.jpg					
Cosmo Titian	103		uncommon	5/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20103%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 103 - Cosmo Titian.jpg					
Cosmo Titian	104		uncommon	6/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20104%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 104 - Cosmo Titian.jpg					
Cosmo Titian	105		uncommon	7/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20105%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 105 - Cosmo Titian.jpg					
Cosmo Titian	106		uncommon	8/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20106%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 106 - Cosmo Titian.jpg					
Cosmo Titian	107		rare	9/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20107%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 107 - Cosmo Titian.jpg					
Cosmo Titian	108		rare	10/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20108%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 108 - Cosmo Titian.jpg					
Cosmo Titian	109		rare	11/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20109%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 109 - Cosmo Titian.jpg					
Cosmo Titian	110		rare	12/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20110%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 110 - Cosmo Titian.jpg					
Cosmo Titian	111		ultra rare 	13/13	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20111%20-%20Cosmo%20Titian.jpg	Area 54 Cards - 111 - Cosmo Titian.jpg					
Demi Mondaine	112		uncommon	1/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20112%20-%20Demi%20Mondaine.jpg	Area 54 Cards - 112 - Demi Mondaine.jpg					
Demi Mondaine	113		uncommon	2/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20113%20-%20Demi%20Mondaine.jpg	Area 54 Cards - 113 - Demi Mondaine.jpg					
Demi Mondaine	114		uncommon	3/9	https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%20114%20-%20Demi%20Mondaine.jpg	Area 54 Cards - 114 - Demi Mondaine.jpg					
