"WorkID","CardName","CardNumber","Date","ProjectSeries","Medium","RarityOrCardType","PrintedSetNumber","FileName","LocalImagePath","ImageExists","DetailPage","SourceImageURL"
"RE-011569","Poultry Rex","13","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","13/24","Area 54 Cards - 13 - Poultry Rex.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 13 - Poultry Rex.jpg","True","cards/RE-011569.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2013%20-%20Poultry%20Rex.jpg"
"RE-011570","Cathy Cowgirl","14","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","14/24","Area 54 Cards - 14 - Cathy Cowgirl.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 14 - Cathy Cowgirl.jpg","True","cards/RE-011570.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2014%20-%20Cathy%20Cowgirl.jpg"
"RE-011571","Grinny Saturn","15","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","15/24","Area 54 Cards - 15 - Grinny Saturn.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 15 - Grinny Saturn.jpg","True","cards/RE-011571.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2015%20-%20Grinny%20Saturn.jpg"
"RE-011572","Space Face UFO","16","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","16/24","Area 54 Cards - 16 - Space Face UFO.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 16 - Space Face UFO.jpg","True","cards/RE-011572.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2016%20-%20Space%20Face%20UFO.jpg"
"RE-011573","UFO Liberty","17","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","17/24","Area 54 Cards - 17 - UFO Liberty.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 17 - UFO Liberty.jpg","True","cards/RE-011573.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2017%20-%20UFO%20Liberty.jpg"
"RE-011574","Light Cult Crypto Alien","18","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","18/24","Area 54 Cards - 18 - Light Cult Crypto Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 18 - Light Cult Crypto Alien.jpg","True","cards/RE-011574.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2018%20-%20Light%20Cult%20Crypto%20Alien.jpg"
"RE-011575","Orion Pod Slime","19","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","19/24","Area 54 Cards - 19 - Orion Pod Slime.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 19 - Orion Pod Slime.jpg","True","cards/RE-011575.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2019%20-%20Orion%20Pod%20Slime.jpg"
"RE-011576","Gimme Unipig","20","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","20/24","Area 54 Cards - 20 - Gimme Unipig.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 20 - Gimme Unipig.jpg","True","cards/RE-011576.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2020%20-%20Gimme%20Unipig.jpg"
"RE-011577","Slo Mo UFO","21","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","21/24","Area 54 Cards - 21 - Slo Mo UFO.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 21 - Slo Mo UFO.jpg","True","cards/RE-011577.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2021%20-%20Slo%20Mo%20UFO.jpg"
"RE-011578","Goldie Aquanaut","22","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","22/24","Area 54 Cards - 22 - Goldie Aquanaut.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 22 - Goldie Aquanaut.jpg","True","cards/RE-011578.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2022%20-%20Goldie%20Aquanaut.jpg"
"RE-011579","Triclopsian","23","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","23/24","Area 54 Cards - 23 - Triclopsian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 23 - Triclopsian.jpg","True","cards/RE-011579.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2023%20-%20Triclopsian.jpg"
"RE-011580","Snailien King","24","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Area 54 VIP","24/24","Area 54 Cards - 24 - Snailien King.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 24 - Snailien King.jpg","True","cards/RE-011580.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2024%20-%20Snailien%20King.jpg"
"RE-011581","Grinnie Martian","25","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","1/7","Area 54 Cards - 25 - Grinnie Martian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 25 - Grinnie Martian.jpg","True","cards/RE-011581.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2025%20-%20Grinnie%20Martian.jpg"
"RE-011582","Grinnie Martian","26","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","2/7","Area 54 Cards - 26 - Grinnie Martian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 26 - Grinnie Martian.jpg","True","cards/RE-011582.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2026%20-%20Grinnie%20Martian.jpg"
"RE-011583","Grinnie Martian","27","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","3/7","Area 54 Cards - 27 - Grinnie Martian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 27 - Grinnie Martian.jpg","True","cards/RE-011583.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2027%20-%20Grinnie%20Martian.jpg"
"RE-011584","Grinnie Martian","28","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","4/7","Area 54 Cards - 28 - Grinnie Martian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 28 - Grinnie Martian.jpg","True","cards/RE-011584.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2028%20-%20Grinnie%20Martian.jpg"
"RE-011585","Grinnie Martian","29","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","5/7","Area 54 Cards - 29 - Grinnie Martian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 29 - Grinnie Martian.jpg","True","cards/RE-011585.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2029%20-%20Grinnie%20Martian.jpg"
"RE-011586","Grinnie Martian","30","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","6/7","Area 54 Cards - 30 - Grinnie Martian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 30 - Grinnie Martian.jpg","True","cards/RE-011586.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2030%20-%20Grinnie%20Martian.jpg"
"RE-011587","Grinnie Martian","31","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Ultra Rare","7/7","Area 54 Cards - 31 - Grinnie Martian.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 31 - Grinnie Martian.jpg","True","cards/RE-011587.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2031%20-%20Grinnie%20Martian.jpg"
"RE-011588","Star Skull Alien","32","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","1/12","Area 54 Cards - 32 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 32 - Star Skull Alien.jpg","True","cards/RE-011588.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2032%20-%20Star%20Skull%20Alien.jpg"
"RE-011589","Star Skull Alien","33","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","2/12","Area 54 Cards - 33 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 33 - Star Skull Alien.jpg","True","cards/RE-011589.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2033%20-%20Star%20Skull%20Alien.jpg"
"RE-011590","Star Skull Alien","34","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","3/12","Area 54 Cards - 34 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 34 - Star Skull Alien.jpg","True","cards/RE-011590.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2034%20-%20Star%20Skull%20Alien.jpg"
"RE-011591","Star Skull Alien","35","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","4/12","Area 54 Cards - 35 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 35 - Star Skull Alien.jpg","True","cards/RE-011591.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2035%20-%20Star%20Skull%20Alien.jpg"
"RE-011592","Star Skull Alien","36","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","5/12","Area 54 Cards - 36 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 36 - Star Skull Alien.jpg","True","cards/RE-011592.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2036%20-%20Star%20Skull%20Alien.jpg"
"RE-011593","Star Skull Alien","37","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","6/12","Area 54 Cards - 37 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 37 - Star Skull Alien.jpg","True","cards/RE-011593.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2037%20-%20Star%20Skull%20Alien.jpg"
"RE-011594","Star Skull Alien","38","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","7/12","Area 54 Cards - 38 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 38 - Star Skull Alien.jpg","True","cards/RE-011594.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2038%20-%20Star%20Skull%20Alien.jpg"
"RE-011595","Star Skull Alien","39","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","8/12","Area 54 Cards - 39 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 39 - Star Skull Alien.jpg","True","cards/RE-011595.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2039%20-%20Star%20Skull%20Alien.jpg"
"RE-011596","Star Skull Alien","40","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","9/12","Area 54 Cards - 40 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 40 - Star Skull Alien.jpg","True","cards/RE-011596.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2040%20-%20Star%20Skull%20Alien.jpg"
"RE-011597","Star Skull Alien","41","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","10/12","Area 54 Cards - 41 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 41 - Star Skull Alien.jpg","True","cards/RE-011597.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2041%20-%20Star%20Skull%20Alien.jpg"
"RE-011598","Star Skull Alien","42","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","11/12","Area 54 Cards - 42 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 42 - Star Skull Alien.jpg","True","cards/RE-011598.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2042%20-%20Star%20Skull%20Alien.jpg"
"RE-011599","Star Skull Alien","43","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Ultra Rare","12/12","Area 54 Cards - 43 - Star Skull Alien.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 43 - Star Skull Alien.jpg","True","cards/RE-011599.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2043%20-%20Star%20Skull%20Alien.jpg"
"RE-011600","Codextra Manasser","44","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","1/9","Area 54 Cards - 44 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 44 - Codextra Manasser.jpg","True","cards/RE-011600.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2044%20-%20Codextra%20Manasser.jpg"
"RE-011601","Codextra Manasser","45","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","2/9","Area 54 Cards - 45 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 45 - Codextra Manasser.jpg","True","cards/RE-011601.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2045%20-%20Codextra%20Manasser.jpg"
"RE-011602","Codextra Manasser","46","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","3/9","Area 54 Cards - 46 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 46 - Codextra Manasser.jpg","True","cards/RE-011602.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2046%20-%20Codextra%20Manasser.jpg"
"RE-011603","Codextra Manasser","47","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","4/9","Area 54 Cards - 47 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 47 - Codextra Manasser.jpg","True","cards/RE-011603.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2047%20-%20Codextra%20Manasser.jpg"
"RE-011604","Codextra Manasser","48","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","5/9","Area 54 Cards - 48 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 48 - Codextra Manasser.jpg","True","cards/RE-011604.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2048%20-%20Codextra%20Manasser.jpg"
"RE-011605","Codextra Manasser","49","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","6/9","Area 54 Cards - 49 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 49 - Codextra Manasser.jpg","True","cards/RE-011605.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2049%20-%20Codextra%20Manasser.jpg"
"RE-011606","Codextra Manasser","50","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","7/9","Area 54 Cards - 50 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 50 - Codextra Manasser.jpg","True","cards/RE-011606.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2050%20-%20Codextra%20Manasser.jpg"
"RE-011607","Codextra Manasser","51","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","8/9","Area 54 Cards - 51 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 51 - Codextra Manasser.jpg","True","cards/RE-011607.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2051%20-%20Codextra%20Manasser.jpg"
"RE-011608","Codextra Manasser","52","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Ultra Rare","9/9","Area 54 Cards - 52 - Codextra Manasser.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 52 - Codextra Manasser.jpg","True","cards/RE-011608.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2052%20-%20Codextra%20Manasser.jpg"
"RE-011609","Elated Xtra Terrestrial","53","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","1/9","Area 54 Cards - 53 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 53 - Elated Xtra Terrestrial.jpg","True","cards/RE-011609.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2053%20-%20Elated%20Xtra%20Terrestrial.jpg"
"RE-011610","Elated Xtra Terrestrial","54","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","2/9","Area 54 Cards - 54 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 54 - Elated Xtra Terrestrial.jpg","True","cards/RE-011610.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2054%20-%20Elated%20Xtra%20Terrestrial.jpg"
"RE-011611","Elated Xtra Terrestrial","55","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","3/9","Area 54 Cards - 55 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 55 - Elated Xtra Terrestrial.jpg","True","cards/RE-011611.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2055%20-%20Elated%20Xtra%20Terrestrial.jpg"
"RE-011612","Elated Xtra Terrestrial","56","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Uncommon","4/9","Area 54 Cards - 56 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 56 - Elated Xtra Terrestrial.jpg","True","cards/RE-011612.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2056%20-%20Elated%20Xtra%20Terrestrial.jpg"
"RE-011613","Elated Xtra Terrestrial","57","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","5/9","Area 54 Cards - 57 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 57 - Elated Xtra Terrestrial.jpg","True","cards/RE-011613.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2057%20-%20Elated%20Xtra%20Terrestrial.jpg"
"RE-011614","Elated Xtra Terrestrial","58","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","6/9","Area 54 Cards - 58 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 58 - Elated Xtra Terrestrial.jpg","True","cards/RE-011614.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2058%20-%20Elated%20Xtra%20Terrestrial.jpg"
"RE-011615","Elated Xtra Terrestrial","59","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","7/9","Area 54 Cards - 59 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 59 - Elated Xtra Terrestrial.jpg","True","cards/RE-011615.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2059%20-%20Elated%20Xtra%20Terrestrial.jpg"
"RE-011616","Elated Xtra Terrestrial","60","November 2022","Ron English's Area 54 - Cards / Packs","NFT / digital collectible card","Rare","8/9","Area 54 Cards - 60 - Elated Xtra Terrestrial.jpg","D:\github\ron-english-nfts\area-54-cards-packs\images\Area 54 Cards - 60 - Elated Xtra Terrestrial.jpg","True","cards/RE-011616.html","https://ronenglish-archive.github.io/ron-english-nfts/area-54-cards-packs/images/Area%2054%20Cards%20-%2060%20-%20Elated%20Xtra%20Terrestrial.jpg"
