"CardName","CardNumber"
"Ardent Adventurer","182"
"Ardent Adventurer","183"
"Gangrenous Blast","184"
"Gangrenous Blast","185"
"Gangrenous Blast","186"
"Gangrenous Blast","187"
"Gangrenous Blast","188"
"Gangrenous Blast","189"
"Gangrenous Blast","190"
"Gangrenous Blast","191"
"Gangrenous Blast","192"
"Zonk Temulent","193"
"Zonk Temulent","194"
"Zonk Temulent","195"
"Zonk Temulent","196"
"Zonk Temulent","197"
"Zonk Temulent","198"
"Zonk Temulent","199"
"Zonk Temulent","200"
"Zonk Temulent","201"
"Storm Thunder","202"
"Storm Thunder","203"
"Storm Thunder","204"
"Storm Thunder","205"
"Storm Thunder","206"
"Storm Thunder","207"
"Storm Thunder","208"
"Storm Thunder","209"
"Storm Thunder","210"
"Alexandrinus Reflection","211"
"Alexandrinus Reflection","212"
"Alexandrinus Reflection","213"
"Alexandrinus Reflection","214"
"Alexandrinus Reflection","215"
"Alexandrinus Reflection","216"
"Alexandrinus Reflection","217"
"Alexandrinus Reflection","218"
"Alexandrinus Reflection","219"
"Extratron Gallexyz","220"
"Extratron Gallexyz","221"
"Extratron Gallexyz","222"
"Extratron Gallexyz","223"
"Extratron Gallexyz24","224"
"Extratron Gallexyz","225"
"Extratron Gallexyz","226"
"Extratron Gallexyz","227"
"Extratron Gallexyz","228"
"Fetal Fraxulus","229"
"Fetal Fraxulus","230"
"Fetal Fraxulus","231"
"Fetal Fraxulus","232"
"Fetal Fraxulus","233"
"Fetal Fraxulus","234"
"Fetal Fraxulus","235"
"Fetal Fraxulus","236"
"Fetal Fraxulus","237"
"Mystical Visitor","238"
"Mystical Visitor","239"
"Mystical Visitor","240"
"Mystical Visitor","241"
"Mystical Visitor","242"
"Mystical Visitor","243"
"Mystical Visitor","244"
"Mystical Visitor","245"
"Mystical Visitor","246"
"Fetal Deceit Phil","247"
"Fetal Deceit Phil","248"
"Fetal Deceit Phil","249"
"Fetal Deceit Phil","250"
"Fetal Deceit Phil","251"
"Fetal Deceit Phil","252"
"Fetal Deceit Phil","253"
"Fetal Deceit Phil","254"
"Fetal Deceit Phil","255"
"Astral Galexic","256"
"Galexic","257"
"Astral Galexic","258"
"Astral Galexic","259"
"Astral Galexic","260"
"Astral Galexic","261"
"Astral Galexic","262"
"Astral Galexic","263"
"Astral Galexic","264"
"Elexacon Angel","265"
"Elexacon Angel","266"
"Elexacon Angel","267"
"Elexacon Angel","268"
"Elexacon Angel","269"
"Elexacon Angel","270"
"Elexacon Angel","271"
"Elexacon Angel","272"
"Elexacon Angel","273"
"Vulcan Vortex","274"
"Vulcan Vortex","275"
"Vulcan Vortex","276"
"Vulcan Vortex","277"
"Vulcan Vortex","278"
"Vulcan Vortex","279"
"Vulcan Vortex","280"
"Vulcan Vortex","281"
"Vulcan Vortex","282"
"Otherworld Overlord","283"
"Otherworld Overlord","284"
"Otherworld Overlord","285"
"Otherworld Overlord","286"
"Otherworld Overlord","287"
"Otherworld Overlord","288"
"Otherworld Overlord","289"
"Otherworld Overlord","290"
"Otherworld Overlord","291"
"Forgon Intruder","292"
"Forgon Intruder","293"
"Forgon Intruder","294"
"Forgon Intruder","295"
"Forgon Intruder","296"
"Forgon Intruder","297"
"Forgon Intruder","298"
"Forgon Intruder","299"
"Forgon Intruder","300"
"Cybor External","301"
"Cybor External","302"
"Cybor External","303"
"Cybor External","304"
"Cybor External","305"
"Cybor External","306"
"Cybor External","307"
"Cybor External","308"
"Cybor External","309"
"Berzerk Krypton","310"
"Berzerk Krypton","311"
"Berzerk Krypton","312"
"Berzerk Krypton","313"
"Berzerk Krypton","314"
"Berzerk Krypton","315"
"Berzerk Krypton","316"
"Berzerk Krypton","317"
"Berzerk Krypton","318"
"Electropia Exotropia","319"
"Electropia Exotropia","320"
"Electropia Exotropia","321"
"Electropia Exotropia","322"
"Electropia Exotropia","323"
"Electropia Exotropia","324"
"Electropia Exotropia","325"
"Electropia Exotropia","326"
"Electropia Exotropia","327"
"Blotto Grog","328"
"Blotto Grog","329"
"Blotto Grog","330"
"Blotto Grog","331"
"Blotto Grog","332"
"Blotto Grog","333"
"Blotto Grog","334"
"Blotto Grog","335"
"Blotto Grog","336"
"Cavaler Avaler","337"
"Cavaler Avaler","338"
"Cavaler Avaler","339"
"Cavaler Avaler","340"
"Cavaler Avaler","341"
"Cavaler Avaler","342"
"Cavaler Avaler","343"
"Cavaler Avaler","344"
"Cavaler Avaler","345"
"Voyagel Wonderer","346"
"Voyagel Wonderer","347"
"Voyagel Wonderer","348"
"Voyagel Wonderer","349"
"Voyagel Wonderer","350"
"Voyagel Wonderer","351"
"Voyagel Wonderer","352"
"Voyagel Wonderer","353"
"Voyagel Wonderer","354"
"Blubby Bono","355"
"Blubby Bono","356"
"Blubby Bono","357"
"Blubby Bono","358"
"Blubby Bono","359"
"Blubby Bono","360"
"Blubby Bono","361"
"Blubby Bono","362"
"Blubby Bono","363"
"Venusian Uranian","364"
"Venusian Uranian","365"
"Venusian Uranian","366"
"Venusian Uranian","367"
"Venusian Uranian","368"
"Venusian Uranian","369"
"Venusian Uranian","370"
"Venusian Uranian","371"
"Venusian Uranian","372"
"Genus Dexus","373"
"Transretinal Orion","374"
"Astrognoist Centauri","375"
"Tsechgo the Terror","376"
"Grey Omomyid","377"
"Etymogual Benedictus","378"
"Curious Hauge","379"
"Lillithone Saviour","380"
"Kidmark Que","381"
"Vivatous Vee","382"
"Blacksoul Sun","383"
"Psalty Turin Shout","384"
"Veronese Testucalius","385"
"Ampadextal Testamonk","386"
"Genhumas Transretnal","387"
"Denarius Asspatcher","388"
"Grimical Credance","389"
"Scantor Pan Ki Moon","390"
"Ratrental Adreheum","391"
"Andresistor Toomoo","392"
"Thcycler Sanbow","393"
"Sandmo Abstance","394"
"Palliduness Flatulence","395"
"Flushal Recokon","396"
"Andresonor Vanvermon","397"
"Celibscent Scanidol","398"
"Tantalus Zathuman 45","399"
"Lavishless Fauness","400"
"Fraxulus Blasphamommie","401"
"Cameulus Caniblast","402"
"Camaluta Fraction","403"
"Ravebless Calluconcious","404"
"Bozobreath Anusless","405"
"Amplacrive Crapulence","406"
"Absubtract Analsupress","407"
"Galacter Equanimous","408"
"Mirreckless Mucilaginor","409"
"Revel Rioter","410"
"Bacchan Complainer","411"
"Palliduness Flatulence","412"
"Celibscent Scanidol","413"
"Inner Sane","418"
